"","VIP","p.value","FDR"
"Citric acid",2.17149734205625,0.000224539063343036,0.012677020492142
"Acetoacetic acid",1.86778961943136,0.00053687907644864,0.012677020492142
"3-Dehydroshikimate",2.05698333384738,0.000944676991004289,0.0132064705467699
"4-Hydroxybenzoic acid",1.66307813179461,0.00159234960674977,0.0154543216297946
"D-Phenyllactic acid",1.46071088581502,0.00181664896657232,0.0154613213456971
"Glucosamine",1.23447452853031,0.00287805536159115,0.0175755403261212
"L-2-Hydroxyglutaric acid",1.86473684951826,0.0042630815974044,0.020780133167617
"trans-Cinnamate",1.78972088804502,0.00539903335693085,0.0236211940364208
"Butyric acid",1.45897006435759,0.0110602929711413,0.0344485342682825
"L-Methionine",1.17804783584788,0.0115825492917194,0.0352667537257673
"Fumaric acid",1.03951635851346,0.0122414196125881,0.0364559537503652
"Methyl jasmonate",1.38078914887268,0.0125075043504307,0.0367450195376167
"Phosphorylcholine",1.07888122596249,0.0132995475560366,0.038144084943039
"D-Cathine",1.25659980026359,0.0141409474287628,0.0395146782906559
"Vanillylmandelic acid",1.61181770573413,0.0164805451079794,0.044342456763301
"4-Hydroxyphenylacetaldehyde",1.47194619386995,0.0343769049201934,0.0745862188587828
"(S)-4-Amino-5-oxopentanoate",1.36753856688428,0.0432052256113963,0.086114427168993
"alpha-Ketoisovaleric acid",1.92858117178129,5.39756093655338e-05,0.00926131497363618
"Guanosine",1.86746162869839,0.00374042271588465,0.0217557355141426
"L-Leucine",2.02666431595916,0.00465104468876965,0.0237345738239822
"L-Tyrosine",2.26048950794249,0.00536561523137921,0.0249386044275616
"Cortisol",2.12431180784778,0.011128562126511,0.0368202766528743
