"Station","Av8top","Lat","Lon"
60,7.225806,34.135833,-117.923611
69,5.899194,34.176111,-118.315278
72,4.052885,33.823611,-118.1875
74,7.181452,34.199444,-118.534722
75,6.076613,34.066944,-117.751389
84,3.157258,33.929167,-118.209722
85,5.201613,34.015,-118.059722
87,4.717742,34.067222,-118.226389
88,6.532258,34.083333,-118.106944
89,7.540323,34.3875,-118.534722
91,4.891129,34.050833,-118.454167
94,4.149194,33.92357,-118.37085
96,7.266129,34.69012,-118.1334
3176,4.100806,33.820278,-117.9125
3177,4.737903,33.926111,-117.951389
3186,4.600806,33.6275,-117.690278
3195,4.358871,33.67511,-117.9269
4137,8.241935,33.85,-116.543056
4144,8.794355,34.010278,-117.426389
4149,8.899194,33.708333,-117.243056
4150,7.16129,33.925,-116.876389
4157,8.133065,33.714555,-116.233894
4158,7.858871,33.67401,-117.32114
4162,9.762097,33.97562,-117.33263
5175,8.149194,34.103611,-117.629167
5181,11.649194,34.243889,-117.273611
5197,8.604839,34.099444,-117.504167
5203,9.947581,34.107222,-117.273611
5204,10.274194,34.066667,-117.151389
5212,8.524194,33.9846,-117.512733
5213,4.447917,34.262276,-117.188543
591,8.241935,34.143889,-117.851389
